## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-07-28T20:39:27.877Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Cambridge Bay Conductivity Temperature Depth Deployed 2024-08-29. Ocean Networks Canada Society. https://doi.org/10.34943/83c71dca-11d5-41f4-81c1-fa03bfb1f4a8. Subset Query: 31682812. Accessed 2025-07-28."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_ConductivityTemperatureDepth_20250610T000000Z_20250611T000000Z-clean_MinMax1minute_CSV_META.xml  / Metadata file name
#SEARCHID:  51625529                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113000                         / Latitude North
#LONGITUDE:  -105.064500                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2025-06-10T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7128"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7128                        / Device Code of Device 1
#DEVID1:    23830                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2025-06-10T00:00:00.000Z             / Data Start Time
#DATETO:    2025-06-11T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2024-03-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 60                                   / Resample Period (s)
#RESAMPTYP: Min/Max                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Minimum and maximum values within resample period  / Resample Description
#TOTSAMPLE: 1440                                 / Samples in File
#TOTSMPEXP: 1440                                 / Samples expected
#DPOPTGAPS: None  / Data Gaps: None - Do not fill gaps 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Conductivity Count", "Conductivity Max Value", "Conductivity Max Date", "Conductivity Max QC Flag", "Conductivity Min Value", "Conductivity Min Date", "Conductivity Min QC Flag", "Density Count", "Density Max Value", "Density Max Date", "Density Max QC Flag", "Density Min Value", "Density Min Date", "Density Min QC Flag", "Depth Count", "Depth Max Value", "Depth Max Date", "Depth Max QC Flag", "Depth Min Value", "Depth Min Date", "Depth Min QC Flag", "Practical Salinity Count", "Practical Salinity Max Value", "Practical Salinity Max Date", "Practical Salinity Max QC Flag", "Practical Salinity Min Value", "Practical Salinity Min Date", "Practical Salinity Min QC Flag", "Pressure Count", "Pressure Max Value", "Pressure Max Date", "Pressure Max QC Flag", "Pressure Min Value", "Pressure Min Date", "Pressure Min QC Flag", "Sigma-t Count", "Sigma-t Max Value", "Sigma-t Max Date", "Sigma-t Max QC Flag", "Sigma-t Min Value", "Sigma-t Min Date", "Sigma-t Min QC Flag", "Sigma-theta (0 dbar) Count", "Sigma-theta (0 dbar) Max Value", "Sigma-theta (0 dbar) Max Date", "Sigma-theta (0 dbar) Max QC Flag", "Sigma-theta (0 dbar) Min Value", "Sigma-theta (0 dbar) Min Date", "Sigma-theta (0 dbar) Min QC Flag", "Sound Speed Count", "Sound Speed Max Value", "Sound Speed Max Date", "Sound Speed Max QC Flag", "Sound Speed Min Value", "Sound Speed Min Date", "Sound Speed Min QC Flag", "Temperature Count", "Temperature Max Value", "Temperature Max Date", "Temperature Max QC Flag", "Temperature Min Value", "Temperature Min Date", "Temperature Min QC Flag"
## END HEADER
2025-06-10T00:00:30.000Z, 60, 2.32088, 2025-06-10T00:00:50.419Z, 1, 2.31986, 2025-06-10T00:00:01.420Z, 1, 60, 1022.947462538, 2025-06-10T00:00:14.419Z, 1, 1022.942891083, 2025-06-10T00:00:53.421Z, 1, 60, 9.25, 2025-06-10T00:00:59.419Z, 1, 9.24, 2025-06-10T00:00:30.419Z, 1, 60, 28.5122, 2025-06-10T00:00:14.419Z, 1, 28.5068, 2025-06-10T00:00:54.419Z, 1, 60, 9.342, 2025-06-10T00:00:15.420Z, 1, 9.339, 2025-06-10T00:00:30.419Z, 1, 60, 22.902083495, 2025-06-10T00:00:14.419Z, 1, 22.897515488, 2025-06-10T00:00:53.421Z, 1, 60, 22.902085196, 2025-06-10T00:00:14.419Z, 1, 22.897517224, 2025-06-10T00:00:53.421Z, 1, 60, 1434.701, 2025-06-10T00:00:53.421Z, 1, 1434.632, 2025-06-10T00:00:04.420Z, 1, 60, -1.2465, 2025-06-10T00:00:53.421Z, 1, -1.2611, 2025-06-10T00:00:04.420Z, 1
2025-06-10T00:01:30.000Z, 60, 2.32085, 2025-06-10T00:01:04.419Z, 1, 2.32062, 2025-06-10T00:01:59.419Z, 1, 60, 1022.946121111, 2025-06-10T00:01:06.424Z, 1, 1022.936391523, 2025-06-10T00:01:26.419Z, 1, 60, 9.25, 2025-06-10T00:01:59.419Z, 1, 9.24, 2025-06-10T00:01:55.419Z, 1, 60, 28.5107, 2025-06-10T00:01:06.424Z, 1, 28.4989, 2025-06-10T00:01:26.419Z, 1, 60, 9.342, 2025-06-10T00:01:43.418Z, 1, 9.339, 2025-06-10T00:01:55.419Z, 1, 60, 22.900739697, 2025-06-10T00:01:06.424Z, 1, 22.891012445, 2025-06-10T00:01:26.419Z, 1, 60, 22.900741423, 2025-06-10T00:01:06.424Z, 1, 22.891014196, 2025-06-10T00:01:26.419Z, 1, 60, 1434.726, 2025-06-10T00:01:25.418Z, 1, 1434.685, 2025-06-10T00:01:06.424Z, 1, 60, -1.2392, 2025-06-10T00:01:25.418Z, 1, -1.2508, 2025-06-10T00:01:06.424Z, 1
2025-06-10T00:02:30.000Z, 60, 2.32062, 2025-06-10T00:02:01.418Z, 1, 2.32033, 2025-06-10T00:02:17.419Z, 1, 60, 1022.942566012, 2025-06-10T00:02:59.423Z, 1, 1022.939446159, 2025-06-10T00:02:20.418Z, 1, 60, 9.25, 2025-06-10T00:02:59.423Z, 1, 9.24, 2025-06-10T00:02:58.418Z, 1, 60, 28.5063, 2025-06-10T00:02:59.423Z, 1, 28.5025, 2025-06-10T00:02:20.418Z, 1, 60, 9.341, 2025-06-10T00:02:53.418Z, 1, 9.339, 2025-06-10T00:02:58.418Z, 1, 60, 22.897188782, 2025-06-10T00:02:59.423Z, 1, 22.89406942, 2025-06-10T00:02:20.418Z, 1, 60, 22.897190503, 2025-06-10T00:02:59.423Z, 1, 22.894071146, 2025-06-10T00:02:20.418Z, 1, 60, 1434.695, 2025-06-10T00:02:45.418Z, 1, 1434.674, 2025-06-10T00:02:59.423Z, 1, 60, -1.2469, 2025-06-10T00:02:45.418Z, 1, -1.2518, 2025-06-10T00:02:59.423Z, 1
2025-06-10T00:03:30.000Z, 60, 2.32044, 2025-06-10T00:03:00.418Z, 1, 2.32009, 2025-06-10T00:03:59.424Z, 1, 60, 1022.943914011, 2025-06-10T00:03:25.418Z, 1, 1022.942201135, 2025-06-10T00:03:35.424Z, 1, 60, 9.25, 2025-06-10T00:03:57.424Z, 1, 9.24, 2025-06-10T00:03:59.424Z, 1, 60, 28.5079, 2025-06-10T00:03:25.418Z, 1, 28.5058, 2025-06-10T00:03:36.424Z, 1, 60, 9.342, 2025-06-10T00:03:34.425Z, 1, 9.339, 2025-06-10T00:03:59.424Z, 1, 60, 22.898531128, 2025-06-10T00:03:25.418Z, 1, 22.89682782, 2025-06-10T00:03:35.424Z, 1, 60, 22.89853284, 2025-06-10T00:03:25.418Z, 1, 22.896829531, 2025-06-10T00:03:35.424Z, 1, 60, 1434.673, 2025-06-10T00:03:00.418Z, 1, 1434.651, 2025-06-10T00:03:59.424Z, 1, 60, -1.2521, 2025-06-10T00:03:00.418Z, 1, -1.2567, 2025-06-10T00:03:59.424Z, 1
2025-06-10T00:04:30.000Z, 60, 2.32022, 2025-06-10T00:04:29.424Z, 1, 2.31929, 2025-06-10T00:04:34.424Z, 1, 60, 1022.946084609, 2025-06-10T00:04:37.423Z, 1, 1022.936197094, 2025-06-10T00:04:34.424Z, 1, 60, 9.25, 2025-06-10T00:04:58.424Z, 1, 9.24, 2025-06-10T00:04:59.423Z, 1, 60, 28.5105, 2025-06-10T00:04:37.423Z, 1, 28.4983, 2025-06-10T00:04:34.424Z, 1, 60, 9.341, 2025-06-10T00:04:42.424Z, 1, 9.338, 2025-06-10T00:04:36.424Z, 1, 60, 22.90071019, 2025-06-10T00:04:37.423Z, 1, 22.890821673, 2025-06-10T00:04:34.424Z, 1, 60, 22.900711889, 2025-06-10T00:04:37.423Z, 1, 22.890823364, 2025-06-10T00:04:34.424Z, 1, 60, 1434.65, 2025-06-10T00:04:00.424Z, 1, 1434.625, 2025-06-10T00:04:34.424Z, 1, 60, -1.2569, 2025-06-10T00:04:00.424Z, 1, -1.2598, 2025-06-10T00:04:37.423Z, 1
2025-06-10T00:05:30.000Z, 60, 2.32021, 2025-06-10T00:05:43.422Z, 1, 2.32007, 2025-06-10T00:05:00.425Z, 1, 60, 1022.947247484, 2025-06-10T00:05:58.423Z, 1, 1022.944531514, 2025-06-10T00:05:11.427Z, 1, 60, 9.25, 2025-06-10T00:05:59.441Z, 1, 9.24, 2025-06-10T00:05:58.423Z, 1, 60, 28.5119, 2025-06-10T00:05:58.423Z, 1, 28.5086, 2025-06-10T00:05:11.427Z, 1, 60, 9.34, 2025-06-10T00:05:59.441Z, 1, 9.338, 2025-06-10T00:05:55.423Z, 1, 60, 22.901872613, 2025-06-10T00:05:58.423Z, 1, 22.899157205, 2025-06-10T00:05:11.427Z, 1, 60, 22.901874307, 2025-06-10T00:05:58.423Z, 1, 22.899158905, 2025-06-10T00:05:11.427Z, 1, 60, 1434.644, 2025-06-10T00:05:44.422Z, 1, 1434.634, 2025-06-10T00:05:58.423Z, 1, 60, -1.2588, 2025-06-10T00:05:09.422Z, 1, -1.2617, 2025-06-10T00:05:58.423Z, 1
2025-06-10T00:06:30.000Z, 60, 2.32038, 2025-06-10T00:06:36.422Z, 1, 2.32017, 2025-06-10T00:06:00.422Z, 1, 60, 1022.947158979, 2025-06-10T00:06:01.423Z, 1, 1022.945644993, 2025-06-10T00:06:52.422Z, 1, 60, 9.25, 2025-06-10T00:06:19.422Z, 1, 9.24, 2025-06-10T00:06:59.422Z, 1, 60, 28.5118, 2025-06-10T00:06:01.423Z, 1, 28.51, 2025-06-10T00:06:52.422Z, 1, 60, 9.34, 2025-06-10T00:06:19.422Z, 1, 9.338, 2025-06-10T00:06:59.422Z, 1, 60, 22.901784249, 2025-06-10T00:06:01.423Z, 1, 22.900271222, 2025-06-10T00:06:52.422Z, 1, 60, 22.901785945, 2025-06-10T00:06:01.423Z, 1, 22.900272928, 2025-06-10T00:06:52.422Z, 1, 60, 1434.654, 2025-06-10T00:06:42.422Z, 1, 1434.636, 2025-06-10T00:06:00.422Z, 1, 60, -1.2571, 2025-06-10T00:06:42.422Z, 1, -1.2613, 2025-06-10T00:06:00.422Z, 1
2025-06-10T00:07:30.000Z, 60, 2.3204, 2025-06-10T00:07:14.425Z, 1, 2.32022, 2025-06-10T00:07:28.435Z, 1, 60, 1022.94809473, 2025-06-10T00:07:13.422Z, 1, 1022.945401536, 2025-06-10T00:07:24.421Z, 1, 60, 9.24, 2025-06-10T00:07:59.421Z, 1, 9.24, 2025-06-10T00:07:59.421Z, 1, 60, 28.513, 2025-06-10T00:07:13.422Z, 1, 28.5097, 2025-06-10T00:07:24.421Z, 1, 60, 9.339, 2025-06-10T00:07:47.422Z, 1, 9.337, 2025-06-10T00:07:53.421Z, 1, 60, 22.902730359, 2025-06-10T00:07:13.422Z, 1, 22.900032508, 2025-06-10T00:07:24.421Z, 1, 60, 22.90273206, 2025-06-10T00:07:13.422Z, 1, 22.900034212, 2025-06-10T00:07:24.421Z, 1, 60, 1434.652, 2025-06-10T00:07:59.421Z, 1, 1434.645, 2025-06-10T00:07:31.426Z, 1, 60, -1.2575, 2025-06-10T00:07:59.421Z, 1, -1.2594, 2025-06-10T00:07:13.422Z, 1
2025-06-10T00:08:30.000Z, 60, 2.32038, 2025-06-10T00:08:20.421Z, 1, 2.32025, 2025-06-10T00:08:53.420Z, 1, 60, 1022.945890003, 2025-06-10T00:08:53.420Z, 1, 1022.9445605, 2025-06-10T00:08:35.421Z, 1, 60, 9.24, 2025-06-10T00:08:59.426Z, 1, 9.24, 2025-06-10T00:08:59.426Z, 1, 60, 28.5103, 2025-06-10T00:08:53.420Z, 1, 28.5087, 2025-06-10T00:08:36.421Z, 1, 60, 9.338, 2025-06-10T00:08:57.434Z, 1, 9.336, 2025-06-10T00:08:59.426Z, 1, 60, 22.900530502, 2025-06-10T00:08:53.420Z, 1, 22.899201524, 2025-06-10T00:08:36.421Z, 1, 60, 22.900532204, 2025-06-10T00:08:53.420Z, 1, 22.899203231, 2025-06-10T00:08:35.421Z, 1, 60, 1434.657, 2025-06-10T00:08:28.421Z, 1, 1434.647, 2025-06-10T00:08:53.420Z, 1, 60, -1.2562, 2025-06-10T00:08:28.421Z, 1, -1.2586, 2025-06-10T00:08:53.420Z, 1
2025-06-10T00:09:30.000Z, 60, 2.32036, 2025-06-10T00:09:53.421Z, 1, 2.32015, 2025-06-10T00:09:30.420Z, 1, 60, 1022.944821955, 2025-06-10T00:09:00.420Z, 1, 1022.942195571, 2025-06-10T00:09:29.421Z, 1, 60, 9.24, 2025-06-10T00:09:59.421Z, 1, 9.24, 2025-06-10T00:09:59.421Z, 1, 60, 28.509, 2025-06-10T00:09:50.421Z, 1, 28.5058, 2025-06-10T00:09:29.421Z, 1, 60, 9.338, 2025-06-10T00:09:30.420Z, 1, 9.335, 2025-06-10T00:09:59.421Z, 1, 60, 22.899457877, 2025-06-10T00:09:00.420Z, 1, 22.89683665, 2025-06-10T00:09:29.421Z, 1, 60, 22.899459582, 2025-06-10T00:09:00.420Z, 1, 22.896838359, 2025-06-10T00:09:29.421Z, 1, 60, 1434.668, 2025-06-10T00:09:59.421Z, 1, 1434.652, 2025-06-10T00:09:02.420Z, 1, 60, -1.2531, 2025-06-10T00:09:59.421Z, 1, -1.2573, 2025-06-10T00:09:00.420Z, 1
