## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2025-07-28T20:51:53.749Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Society. 2024. Cambridge Bay Conductivity Temperature Depth Deployed 2024-08-29. Ocean Networks Canada Society. https://doi.org/10.34943/83c71dca-11d5-41f4-81c1-fa03bfb1f4a8. Subset Query: 31682816. Accessed 2025-07-28."  / Citation Title
#METADATF:  CambridgeBay_UnderwaterNetwork_ConductivityTemperatureDepth_20250610T000000Z_20250616T000000Z-clean_avg15minute_CSV_META.xml  / Metadata file name
#SEARCHID:  51625753                             / DMAS Search ID from Oceans3.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Arctic-CambridgeBay-UnderwaterNetwork  / Station Name 
#STNCODE:   CBYIP                                / Station Code 
#LATITUDE:     69.113000                         / Latitude North
#LONGITUDE:  -105.064500                         / Longitude East
#DEPTH:         9.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DEVCAT: Conductivity Temperature Depth          / Device Category
#DEVTOT:    1  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2025-06-10T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "Sea-Bird SeaCAT SBE19plus V2 7128"   / Device Name of Device 1
#DEVCODE1:  SBECTD19p7128                        / Device Code of Device 1
#DEVID1:    23830                                / Device ID of Device 1
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 3.0
##------------------------------------------------------------------------------
#DATEFROM:  2025-06-10T00:00:00.000Z             / Data Start Time
#DATETO:    2025-06-16T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2024-03-19T00:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#RESAMPPRD: 900                                  / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 576                                  / Samples in File
#TOTSMPEXP: 576                                  / Samples expected
#DPOPTGAPS: None  / Data Gaps: None - Do not fill gaps 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Conductivity (S/m)", "Conductivity QC Flag", "Conductivity Count", "Density (kg/m3)", "Density QC Flag", "Density Count", "Depth (m)", "Depth QC Flag", "Depth Count", "Practical Salinity (psu)", "Practical Salinity QC Flag", "Practical Salinity Count", "Pressure (decibar)", "Pressure QC Flag", "Pressure Count", "Sigma-t (kg/m3)", "Sigma-t QC Flag", "Sigma-t Count", "Sigma-theta (0 dbar) (kg/m3)", "Sigma-theta (0 dbar) QC Flag", "Sigma-theta (0 dbar) Count", "Sound Speed (m/s)", "Sound Speed QC Flag", "Sound Speed Count", "Temperature (C)", "Temperature QC Flag", "Temperature Count"
## END HEADER
2025-06-10T00:07:30.000Z, 2.320466167, 7, 900, 1022.943319064, 7, 900, 9.242955556, 7, 900, 28.507230889, 7, 900, 9.337737778, 7, 900, 22.897952704, 7, 900, 22.897954423, 7, 900, 1434.672528889, 7, 900, -1.252462889, 7, 900
2025-06-10T00:22:30.000Z, 2.3227943, 7, 900, 1022.935667492, 7, 900, 9.239944444, 7, 900, 28.498616889, 7, 900, 9.332104444, 7, 900, 22.890340321, 7, 900, 22.89034216, 7, 900, 1434.862265556, 7, 900, -1.210601667, 7, 900
2025-06-10T00:37:30.000Z, 2.323110233, 7, 900, 1022.936979822, 7, 900, 9.231222222, 7, 900, 28.500320889, 7, 900, 9.327001111, 7, 900, 22.891678381, 7, 900, 22.891680228, 7, 900, 1434.877291111, 7, 900, -1.207927444, 7, 900
2025-06-10T00:52:30.000Z, 2.32195, 7, 900, 1022.949812679, 7, 900, 9.228911111, 7, 900, 28.515577444, 7, 900, 9.320698889, 7, 900, 22.904533443, 7, 900, 22.904535201, 7, 900, 1434.742086667, 7, 900, -1.240285778, 7, 900
2025-06-10T01:07:30.000Z, 2.3198218, 7, 900, 1022.951874449, 7, 900, 9.231288889, 7, 900, 28.517496, 7, 900, 9.325641111, 7, 900, 22.906561769, 7, 900, 22.906563434, 7, 900, 1434.590676667, 7, 900, -1.272294778, 7, 900
2025-06-10T01:22:30.000Z, 2.319575644, 7, 900, 1022.951847573, 7, 900, 9.244744444, 7, 900, 28.517317889, 7, 900, 9.33974, 7, 900, 22.906465393, 7, 900, 22.90646705, 7, 900, 1434.574825556, 7, 900, -1.275583778, 7, 900
2025-06-10T01:37:30.000Z, 2.318909244, 7, 900, 1022.952699037, 7, 900, 9.263844444, 7, 900, 28.518075667, 7, 900, 9.357838889, 7, 900, 22.907225915, 7, 900, 22.907227547, 7, 900, 1434.527038889, 7, 900, -1.285777333, 7, 900
2025-06-10T01:52:30.000Z, 2.318882678, 7, 900, 1022.949222188, 7, 900, 9.272266667, 7, 900, 28.513801333, 7, 900, 9.367562222, 7, 900, 22.903702692, 7, 900, 22.903704334, 7, 900, 1434.541142222, 7, 900, -1.281690889, 7, 900
2025-06-10T02:07:30.000Z, 2.321311356, 7, 900, 1022.939681141, 7, 900, 9.283911111, 7, 900, 28.502812889, 7, 900, 9.378288889, 7, 900, 22.894122398, 7, 900, 22.894124172, 7, 900, 1434.746757778, 7, 900, -1.235931444, 7, 900
2025-06-10T02:22:30.000Z, 2.323202967, 7, 900, 1022.916496227, 7, 900, 9.301811111, 7, 900, 28.475157778, 7, 900, 9.396443333, 7, 900, 22.870863746, 7, 900, 22.870865675, 7, 900, 1434.977548889, 7, 900, -1.180251444, 7, 900
2025-06-10T02:37:30.000Z, 2.322173911, 7, 900, 1022.943559965, 7, 900, 9.300044444, 7, 900, 28.507629, 7, 900, 9.395636667, 7, 900, 22.897919507, 7, 900, 22.897921309, 7, 900, 1434.787712222, 7, 900, -1.228833889, 7, 900
2025-06-10T02:52:30.000Z, 2.320353444, 7, 900, 1022.955331835, 7, 900, 9.304577778, 7, 900, 28.521382889, 7, 900, 9.399237778, 7, 900, 22.909662945, 7, 900, 22.909664635, 7, 900, 1434.613397778, 7, 900, -1.268916333, 7, 900
2025-06-10T03:07:30.000Z, 2.321139644, 7, 900, 1022.950612854, 7, 900, 9.3248, 7, 900, 28.515746889, 7, 900, 9.420257778, 7, 900, 22.904846506, 7, 900, 22.904848247, 7, 900, 1434.687874444, 7, 900, -1.251941444, 7, 900
